Dvrs005*       0.1490465E+01  0.1655245E-01  0.1473815E+01  0.1506742E+01  two    0.1458427E+01  0.1523355E+01  two    0.1448742E+01  0.1534342E+01  two     D_V(0.05)/r_{\rm{drag}}
Dvrs01*        0.2931424E+01  0.3122203E-01  0.2900008E+01  0.2962137E+01  two    0.2870923E+01  0.2993391E+01  two    0.2852649E+01  0.3014075E+01  two     D_V(0.1)/r_{\rm{drag}}
Dvrs015*       0.4321801E+01  0.4409298E-01  0.4277426E+01  0.4365167E+01  two    0.4236255E+01  0.4409179E+01  two    0.4210349E+01  0.4438331E+01  two     D_V(0.15)/r_{\rm{drag}}
Dvrs02*        0.5661013E+01  0.5526918E-01  0.5605389E+01  0.5715377E+01  two    0.5553673E+01  0.5770422E+01  two    0.5521062E+01  0.5806780E+01  two     D_V(0.2)/r_{\rm{drag}}
Dvrs025*       0.6948932E+01  0.6486826E-01  0.6883645E+01  0.7012770E+01  two    0.6822861E+01  0.7077396E+01  two    0.6784292E+01  0.7119716E+01  two     D_V(0.25)/r_{\rm{drag}}
Dvrs03*        0.8185834E+01  0.7301626E-01  0.8112322E+01  0.8257673E+01  two    0.8043875E+01  0.8330559E+01  two    0.8000108E+01  0.8377886E+01  two     D_V(0.3)/r_{\rm{drag}}
Dvrs035*       0.9372348E+01  0.7984278E-01  0.9291961E+01  0.9450900E+01  two    0.9216958E+01  0.9530456E+01  two    0.9169024E+01  0.9582055E+01  two     D_V(0.35)/r_{\rm{drag}}
Dvrs04*        0.1050940E+02  0.8547711E-01  0.1042335E+02  0.1059350E+02  two    0.1034297E+02  0.1067849E+02  two    0.1029152E+02  0.1073347E+02  two     D_V(0.4)/r_{\rm{drag}}
Dvrs045*       0.1159817E+02  0.9004502E-01  0.1150754E+02  0.1168671E+02  two    0.1142276E+02  0.1177630E+02  two    0.1136839E+02  0.1183374E+02  two     D_V(0.45)/r_{\rm{drag}}
Dvrs05*        0.1264001E+02  0.9366652E-01  0.1254574E+02  0.1273212E+02  two    0.1245733E+02  0.1282506E+02  two    0.1240062E+02  0.1288479E+02  two     D_V(0.5)/r_{\rm{drag}}
Dvrs055*       0.1363644E+02  0.9645422E-01  0.1353935E+02  0.1373131E+02  two    0.1344821E+02  0.1382688E+02  two    0.1338975E+02  0.1388808E+02  two     D_V(0.55)/r_{\rm{drag}}
Dvrs06*        0.1458908E+02  0.9851233E-01  0.1448996E+02  0.1468604E+02  two    0.1439666E+02  0.1478336E+02  two    0.1433696E+02  0.1484586E+02  two     D_V(0.6)/r_{\rm{drag}}
Dvrs065*       0.1549963E+02  0.9993610E-01  0.1539906E+02  0.1559794E+02  two    0.1530415E+02  0.1569660E+02  two    0.1524350E+02  0.1576000E+02  two     D_V(0.65)/r_{\rm{drag}}
Dvrs07*        0.1636981E+02  0.1008118E+00  0.1626835E+02  0.1646889E+02  two    0.1617239E+02  0.1656840E+02  two    0.1611101E+02  0.1663214E+02  two     D_V(0.7)/r_{\rm{drag}}
Dvrs075*       0.1720137E+02  0.1012168E+00  0.1709942E+02  0.1730084E+02  two    0.1700298E+02  0.1740072E+02  two    0.1694127E+02  0.1746421E+02  two     D_V(0.75)/r_{\rm{drag}}
Dvrs08*        0.1799604E+02  0.1012201E+00  0.1789405E+02  0.1809553E+02  two    0.1779757E+02  0.1819536E+02  two    0.1773549E+02  0.1825837E+02  two     D_V(0.8)/r_{\rm{drag}}
Dvrs085*       0.1875555E+02  0.1008826E+00  0.1865389E+02  0.1885470E+02  two    0.1855760E+02  0.1895409E+02  two    0.1849560E+02  0.1901683E+02  two     D_V(0.85)/r_{\rm{drag}}
Dvrs09*        0.1948157E+02  0.1002582E+00  0.1938050E+02  0.1958008E+02  two    0.1928472E+02  0.1967882E+02  two    0.1922299E+02  0.1974085E+02  two     D_V(0.9)/r_{\rm{drag}}
Dvrs095*       0.2017573E+02  0.9939388E-01  0.2007549E+02  0.2027339E+02  two    0.1998048E+02  0.2037123E+02  two    0.1991927E+02  0.2043254E+02  two     D_V(0.95)/r_{\rm{drag}}
Dvrs1*         0.2083960E+02  0.9833049E-01  0.2074048E+02  0.2093618E+02  two    0.2064635E+02  0.2103291E+02  two    0.2058586E+02  0.2109344E+02  two     D_V(1.0)/r_{\rm{drag}}
Dvrs105*       0.2147471E+02  0.9710368E-01  0.2137688E+02  0.2157013E+02  two    0.2128388E+02  0.2166560E+02  two    0.2122398E+02  0.2172519E+02  two     D_V(1.05)/r_{\rm{drag}}
Dvrs11*        0.2208251E+02  0.9574421E-01  0.2198607E+02  0.2217666E+02  two    0.2189425E+02  0.2227056E+02  two    0.2183503E+02  0.2232945E+02  two     D_V(1.1)/r_{\rm{drag}}
Dvrs115*       0.2266438E+02  0.9427857E-01  0.2256943E+02  0.2275708E+02  two    0.2247901E+02  0.2284947E+02  two    0.2242036E+02  0.2290751E+02  two     D_V(1.15)/r_{\rm{drag}}
Dvrs12*        0.2322166E+02  0.9272952E-01  0.2312826E+02  0.2331284E+02  two    0.2303923E+02  0.2340355E+02  two    0.2298143E+02  0.2346085E+02  two     D_V(1.2)/r_{\rm{drag}}
Dvrs125*       0.2375559E+02  0.9111658E-01  0.2366381E+02  0.2384518E+02  two    0.2357638E+02  0.2393424E+02  two    0.2351905E+02  0.2399056E+02  two     D_V(1.25)/r_{\rm{drag}}
